3298.MY,Hexza Corporation Berhad
3301.MY,Hong Leong Industries Berhad
3336.MY,IJM Corporation Berhad
3379.MY,Insas Berhad
3379PB.MY,Insas Bhd
3395.MY,Berjaya Corporation Berhad
3417.MY,Eastern & Oriental Berhad
3441.MY,Johan Holdings Bhd
3476.MY,Keck Seng Malaysia Bhd
3514.MY,Marco Holdings Berhad
3557.MY,Ecofirst Consolidated Bhd
3565.MY,Kumpulan Europlus Berhad
3573.MY,Lien Hoe Corp. Bhd
3611.MY,PGLOBE
3662.MY,Malayan Flour Mills Bhd
3689.MY,Fraser & Neave Holdings Bhd
3719.MY,Panasonic Manufacturing Malaysia Berhad
3743.MY,Sunsuria Berhad
3778.MY,Melewar Industrial Group Berhad
3794.MY,Lafarge Malaysia Berhad
3816.MY,MISC
3859.MY,Magnum Berhad
3867.MY,Malaysian Pacific Industries Berhad
3883.MY,Muda Holdings Berhad
3891.MY,Malayan United Industries Berhad
3905.MY,MULPHA
3913.MY,MUI Properties Berhad
3948.MY,DutaLand Berhad
4006.MY,Oriental Holdings Bhd
4022.MY,Tadmax Resources Berhad
4057.MY,Asian Pac Holdings Berhad
4065.MY,PPB Group Berhad
4081.MY,Pan Malaysia Corporation Berhad
4162.MY,British American Tobacco Malaysia Bhd
4197.MY,Sime Darby Berhad
4219.MY,Berjaya Land Berhad
4235.MY,Lion Industries Corporation Berhad
4243.MY,WTK Holdings Bhd
4251.MY,I-Berhad
4286.MY,Seal Inc. Bhd
4316.MY,Sin Heng Chan 
4324.MY,Shell Refining Company 
4359.MY,Turiya Berhad
4375.MY,South Malaysia Industries Bhd
4383.MY,Jaya Tiasa Holdings Berhad
4405.MY,Tan Chong Motor Holdings Bhd
4456.MY,Dagang NeXchange Berhad
4464.MY,Naim Indah Corp. Bhd
4502.MY,Media Prima Bhd
4588.MY,UMW Holdings Bhd
4596.MY,Sapura Resources Berhad
4634.MY,Pos Malaysia Berhad
4677.MY,YTL
4707.MY,Nestlé 
4715.MY,Genting Malaysia Berhad
4723.MY,JAKS Resources Berhad
4731.MY,Scientex Berhad
4758.MY,Ancom Berhad
4847.MY,Konsortium Transnasional Bhd
4863.MY,Telekom Malaysia Berhad
4936.MY,Malpac Holdings Bhd
4944.MY,Nylex 
4995.MY,Versatile Creative Berhad
5000.MY,Hume Industries Berhad
5001.MY,Mieco Chipboard Bhd
5005.MY,Unisem 
5006.MY,Merge Energy Bhd
5007.MY,Chin Well Holdings Berhad
5008.MY,Harrisons Holdings 
5009.MY,White Horse Bhd
5010.MY,Tong Herr Resources Bhd
5011.MY,Mesiniaga Bhd
5012.MY,TA Ann Holdings Bhd
5014.MY,Malaysia Airports Holdings Bhd
5015.MY,APM Automotive Holdings Berhad
5016.MY,Warisan TC Holdings Bhd
5020.MY,Glomac Berhad
5021.MY,AYS Ventures Berhad
5022.MY,Paos Holdings Berhad
5024.MY,Hup Seng Industries Bhd
5025.MY,NWP Holdings Berhad
5026.MY,MHC
5027.MY,Kim Loong Resources Berhad
5028.MY,Heitech Padu Bhd
5029.MY,Far East Holdings Bhd
5031.MY,Time Dotcom Bhd.
5032.MY,Bintulu Port Holdings Bhd
5036.MY,Edaran Berhad
5037.MY,COMPUGT
5038.MY,KSL Holdings Bhd
5040.MY,Meda Inc. Bhd
5041.MY,PBA Holdings Bhd
5042.MY,TSR Capital Berhad
5047.MY,NPC
5048.MY,Yi-Lai Bhd
5049.MY,Country View Bhd
5053.MY,OSK Holdings Berhad
5054.MY,TRC Synergy Bhd
5056.MY,Engtex Group Bhd
5062.MY,Hua Yang Bhd
5065.MY,Ornapaper Bhd
5066.MY,NTPM Holdings Berhad
5068.MY,Luster Industries Bhd
5069.MY,Bld Plantation Bhd
5070.MY,Protasco Bhd
5071.MY,COASTAL
5072.MY,Hiap Teck Venture Bhd
5073.MY,Naim Holdings Berhad
5075.MY,Plenitude Berhad
5077.MY,Malaysian Bulk Carriers Bhd.
5078.MY,Silk Holdings Berhad
5079.MY,KBES Bhd.
5080.MY,Poh Kong Holdings Bhd
5081.MY,EIG
5082.MY,Cymao Holdings Berhad
5085.MY,MUDAJYA
5087.MY,Mycron Steel Bhd
5088.MY,Apex Equity Holdings Berhad
5090.MY,Media Chinese International Limited
5094.MY,CSC Steel Holdings Bhd
5095.MY,HeveaBoard Bhd
5098.MY,Malaysia Steel Works 
5099.MY,AirAsia Berhad
5100.MY,BP Plastics Holding Bhd
